X,Y,oid_,name,field1,nama,alamat,jumlah_ped,jenis_bang,kondisi_la,ketersedia,ketersed_1,ketersed_2,drainase,kabupaten_,provinsi,nama_desa,objectid,icon_url
108.358986199754,-7.33244100015122,0,A,0,A,,0,,,,,,,CIAMIS,JAWA BARAT,,1,./0.png
106.801871999794,-6.24442300002062,0,Pasar Melawai Blok M,1,Pasar Melawai Blok M,Jl. Melawai V Kebayoran Baru,0,,,,,,,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA,,2,./0.png
122.521312499773,-3.98161569990384,0,Pasar Grosir Kendari,3,Pasar Grosir Kendari,,0,,,,,,,KOTA KENDARI,SULAWESI TENGGARA,,3,./0.png
109.081544399555,-7.60781320021823,0,Pasar Jagang,5,Pasar Jagang,Ciwuni,7,,,,,,,CILACAP,JAWA TENGAH,,4,./0.png
101.368637600346,-2.00438410004534,0,Pasar Semurup,5310,Pasar Semurup,Semurup Kec.Air Hangat,36,,,,,,,KERINCI,JAMBI,,5,./0.png
121.032076599856,-3.66771839958363,0,Ranteangin,10,Ranteangin,Ranteangin,0,,,,,,,KOLAKA UTARA,SULAWESI TENGGARA,,6,./0.png
109.972782400189,-7.76151929977505,0,Pasar Senin,11,Pasar Senin,"Banyuurip, Purworejo",2,,,,,,,PURWOREJO,JAWA TENGAH,,7,./0.png
108.526472299858,-6.71529510008799,0,Pasar Kapuk Kedawung,12,Pasar Kapuk Kedawung,Jl. Raya kedawung,0,,,,,,,CIREBON,JAWA BARAT,,8,./0.png
122.728888300156,-4.85723669981303,0,Bahari 1,13,Bahari 1,,0,,,,,,,MUNA,SULAWESI TENGGARA,,9,./0.png
108.025276100013,-7.73474510020543,0,Pasar Desa Cipatujah,14,Pasar Desa Cipatujah,Cipatujah,0,,,,,,,TASIKMALAYA,JAWA BARAT,,10,./0.png
119.423736499941,-5.18373490044451,0,"Tamalate, Makassar",18,"Tamalate, Makassar",,0,,,,,,,KOTA MAKASSAR,SULAWESI SELATAN,,11,./0.png
112.540012200404,-7.6710328996478,0,Pasar Pacet,19,Pasar Pacet,Pacet,0,,,,,,,MOJOKERTO,JAWA TIMUR,,12,./0.png
