X,Y,FID,OBJECTID,Turtle_Spe,Country,icon_url
109.051739208,1.58660180500004,0,24,Green Turtles,Indonesia,./0.png
118.202554791,2.44541621300004,1,36,Hawksbill Turtles,Indonesia,./0.png
118.636897709,2.32695905300005,2,37,Green Turtles,Indonesia,./0.png
118.804712019,2.10978759400007,3,38,Hawksbill Turtles,Indonesia,./0.png
118.854069169,1.78403040500007,4,39,Green Turtles,Indonesia,./0.png
119.061369198,0.964701717000082,5,40,Hawksbill Turtles,Indonesia,./0.png
108.044853351,4.85404512600007,6,42,Leatherback Turtles,Indonesia,./0.png
108.005367631,3.62998780900006,7,43,Green Turtles,Indonesia,./0.png
107.452567552,1.04367315700006,8,44,Green Turtles,Indonesia,./0.png
102.210838238,1.61621609500008,9,54,Hawksbill Turtles,Indonesia,./0.png
102.812995466,1.22135889600008,10,55,Green Turtles,Indonesia,./0.png
103.049909785,1.10290173700008,11,57,Hawksbill Turtles,Indonesia,./0.png
104.362809971,0.895601707000083,12,58,Hawksbill Turtles,Indonesia,./0.png
104.116024222,0.767273118000048,13,59,Green Turtles,Indonesia,./0.png
104.293709962,0.579715948000057,14,60,Hawksbill Turtles,Indonesia,./0.png
104.471395701,-0.101412719999928,15,61,Hawksbill Turtles,Indonesia,./0.png
104.94522434,-0.209998448999954,16,62,Green Turtles,Indonesia,./0.png
104.560238571,-0.358069898999929,17,63,Green Turtles,Indonesia,./0.png
105.527638708,-1.52289863599992,18,64,Green Turtles,Indonesia,./0.png
106.149538796,-1.76968438499995,19,65,Hawksbill Turtles,Indonesia,./0.png
106.860281754,-3.08258457099993,20,66,Green Turtles,Indonesia,./0.png
107.709224732,-2.50017020299993,21,67,Hawksbill Turtles,Indonesia,./0.png
108.854310608,-1.51302720599995,22,68,Green Turtles,Indonesia,./0.png
110.285667954,-3.03322742099994,23,69,Green Turtles,Indonesia,./0.png
107.719096162,-3.26027030999995,24,70,Green Turtles,Indonesia,./0.png
107.975753341,-3.30962745999994,25,71,Hawksbill Turtles,Indonesia,./0.png
95.3563743402668,5.89172833715458,26,72,Green Turtles,Indonesia,./0.png
105.971853057,-4.88905625599995,27,73,Green Turtles,Indonesia,./0.png
105.971853057,-5.02725627499996,28,74,Hawksbill Turtles,Indonesia,./0.png
106.475295985,-5.59979921399992,29,75,Hawksbill Turtles,Indonesia,./0.png
106.643110295,-5.54057063399995,30,76,Green Turtles,Indonesia,./0.png
108.32125339,-5.91568497299994,31,77,Hawksbill Turtles,Indonesia,./0.png
106.356838826,-7.37665660799991,32,78,Green Turtles,Indonesia,./0.png
114.90549718,-4.12895614799993,33,79,Green Turtles,Indonesia,./0.png
114.688325721,-5.05687056499994,34,80,Green Turtles,Indonesia,./0.png
113.750539874,-8.58097106499991,35,81,Green Turtles,Indonesia,./0.png
114.431668542,-8.79814252399996,36,82,Green Turtles,Indonesia,./0.png
114.638968571,-8.07752813599996,37,83,Green Turtles,Indonesia,./0.png
115.10292578,-8.76852823399992,38,84,Green Turtles,Indonesia,./0.png
116.099940207,-8.31444245599994,39,85,Green Turtles,Indonesia,./0.png
116.129554497,-8.98569969399995,40,86,Green Turtles,Indonesia,./0.png
116.435568826,-8.98569969399995,41,87,Hawksbill Turtles,Indonesia,./0.png
116.909397464,-8.39341389499992,42,88,Hawksbill Turtles,Indonesia,./0.png
117.314126093,-7.62344235799992,43,89,Green Turtles,Indonesia,./0.png
117.659626142,-8.12688528599995,44,90,Green Turtles,Indonesia,./0.png
116.800811735,-9.06467113299993,45,91,Hawksbill Turtles,Indonesia,./0.png
119.288412087,-5.58992778399994,46,92,Green Turtles,Indonesia,./0.png
120.384140814,-5.66889922299993,47,93,Green Turtles,Indonesia,./0.png
120.561826554,-6.42899933099994,48,94,Leatherback Turtles,Indonesia,./0.png
